ID	Length	SRX6637057	SRX6637058	SRX6637059	SRX6637060
ENSG00000116957	5499	357.0	324.0	255.0	367.0
ENSG00000110427	38499	13139.0	13360.0	16869.0	20074.0
ENSG00000112237	20499	157.0	174.0	378.0	504.0
ENSG00000255670	3999	96.0	83.0	88.0	90.0
ENSG00000106153	8499	133.0	163.0	252.0	322.0
ENSG00000162526	5499	391.0	388.0	613.0	614.0
ENSG00000084754	3999	86.0	86.0	33.0	53.0
ENSG00000132382	16499	129.0	68.0	697.0	549.0
ENSG00000021355	4499	74.0	69.0	35.0	130.0
ENSG00000115944	3999	474.0	550.0	232.0	273.0
ENSG00000138035	4999	9.0	9.0	43.0	33.0
ENSG00000137054	4999	215.0	190.0	350.0	297.0
ENSG00000146830	5999	2090.0	1875.0	1691.0	2019.0
ENSG00000139668	12999	476.0	461.0	679.0	754.0
ENSG00000115266	6499	299.0	294.0	457.0	434.0
ENSG00000138802	3999	44.0	56.0	52.0	41.0
ENSG00000119537	5999	67.0	75.0	111.0	160.0
ENSG00000131165	3999	13.0	17.0	156.0	178.0
ENSG00000143409	3999	89.0	101.0	79.0	80.0
ENSG00000100997	18499	399.0	310.0	333.0	500.0
ENSG00000078814	8499	795.0	710.0	471.0	542.0
ENSG00000156831	19499	53.0	78.0	329.0	311.0
ENSG00000188672	3999	974.0	1267.0	875.0	942.0
ENSG00000238963	16999	14.0	9.0	182.0	119.0
ENSG00000128512	4499	16.0	18.0	56.0	56.0
ENSG00000144031	6999	1105.0	1121.0	910.0	808.0
ENSG00000082438	3999	28.0	18.0	34.0	23.0
ENSG00000231955	5999	198.0	232.0	126.0	187.0
ENSG00000065883	37808	237.0	319.0	1007.0	875.0
ENSG00000170921	26999	580.0	585.0	1243.0	913.0
ENSG00000146826	5499	129.0	137.0	185.0	232.0
ENSG00000164985	4999	378.0	336.0	273.0	268.0
ENSG00000259607	4499	71.0	60.0	81.0	129.0
ENSG00000174276	4499	73.0	92.0	434.0	502.0
ENSG00000264333	17499	966.0	785.0	926.0	938.0
ENSG00000115694	10999	55.0	43.0	476.0	426.0
ENSG00000145244	7499	91.0	111.0	137.0	227.0
ENSG00000270861	6999	1443.0	1633.0	1155.0	1245.0
ENSG00000076685	10999	42.0	45.0	103.0	119.0
ENSG00000243753	17499	328.0	315.0	260.0	289.0
ENSG00000047579	3999	243.0	273.0	258.0	308.0
ENSG00000148925	14499	170.0	172.0	236.0	194.0
ENSG00000261505	9999	845.0	791.0	540.0	584.0
ENSG00000197429	3999	474.0	573.0	412.0	355.0
ENSG00000136261	4499	18.0	26.0	32.0	149.0
ENSG00000179922	9999	1670.0	1326.0	653.0	637.0
ENSG00000143970	17999	34.0	44.0	264.0	212.0
ENSG00000118181	10499	609.0	505.0	163.0	164.0
ENSG00000143882	6499	866.0	909.0	1020.0	1037.0
ENSG00000263853	6999	228.0	244.0	335.0	303.0
ENSG00000264558	4499	830.0	793.0	434.0	758.0
ENSG00000169727	10499	2016.0	1838.0	1612.0	1540.0
ENSG00000082898	6999	28.0	28.0	126.0	106.0
ENSG00000267244	22999	612.0	347.0	1115.0	983.0
ENSG00000241035	4999	135.0	88.0	108.0	142.0
ENSG00000104213	9999	1598.0	1693.0	404.0	405.0
ENSG00000100445	8499	359.0	269.0	386.0	567.0
ENSG00000131378	4999	53.0	89.0	36.0	25.0
ENSG00000184389	10499	276.0	241.0	251.0	253.0
ENSG00000243155	9999	4.0	6.0	132.0	115.0
ENSG00000207200	3999	14.0	11.0	57.0	134.0
ENSG00000119979	4499	96.0	86.0	69.0	53.0
ENSG00000111305	4499	97.0	151.0	77.0	58.0
ENSG00000019995	19999	1524.0	1685.0	1159.0	1246.0
ENSG00000235514	5999	7.0	5.0	37.0	45.0
ENSG00000227673	5499	17.0	24.0	84.0	48.0
ENSG00000136932	4499	70.0	79.0	14.0	25.0
ENSG00000228436	6999	15.0	12.0	104.0	72.0
ENSG00000167970	5999	482.0	385.0	798.0	743.0
ENSG00000125875	18499	1345.0	1155.0	1303.0	1155.0
ENSG00000138138	8999	186.0	215.0	813.0	856.0
ENSG00000236540	7499	126.0	82.0	46.0	51.0
ENSG00000165644	8999	652.0	849.0	476.0	436.0
ENSG00000138587	7999	16.0	18.0	122.0	185.0
ENSG00000228719	3999	0.0	0.0	46.0	40.0
ENSG00000163170	5999	7.0	3.0	61.0	76.0
ENSG00000139292	21999	7.0	5.0	879.0	803.0
ENSG00000101439	4499	199.0	227.0	454.0	357.0
ENSG00000115761	8499	126.0	138.0	89.0	66.0
ENSG00000163521	6499	1010.0	859.0	399.0	470.0
ENSG00000137338	4999	25.0	19.0	50.0	61.0
ENSG00000167766	7999	4.0	4.0	189.0	179.0
ENSG00000233559	7499	31.0	39.0	165.0	122.0
ENSG00000137274	3999	280.0	238.0	199.0	164.0
ENSG00000266606	5499	193.0	238.0	128.0	163.0
ENSG00000136827	7499	462.0	464.0	630.0	771.0
ENSG00000125779	14999	338.0	329.0	719.0	707.0
ENSG00000131370	10499	393.0	440.0	309.0	356.0
ENSG00000147789	5499	330.0	325.0	247.0	238.0
ENSG00000203362	6499	54.0	33.0	350.0	351.0
ENSG00000178184	21999	687.0	662.0	1294.0	1593.0
ENSG00000263171	10999	70.0	49.0	171.0	129.0
ENSG00000266935	3999	5.0	1.0	30.0	45.0
ENSG00000213757	13499	32.0	32.0	295.0	307.0
ENSG00000108423	26051	4034.0	4039.0	3442.0	2558.0
ENSG00000175866	7999	40.0	31.0	293.0	164.0
ENSG00000162191	3999	27.0	19.0	53.0	85.0
ENSG00000071994	9499	264.0	273.0	317.0	362.0
ENSG00000270706	6499	153.0	109.0	105.0	111.0
ENSG00000228889	7499	1.0	1.0	190.0	177.0
ENSG00000255748	8999	112.0	130.0	215.0	256.0
ENSG00000108557	10999	1953.0	1205.0	519.0	613.0
ENSG00000137266	7499	127.0	111.0	95.0	147.0
ENSG00000009724	15499	1600.0	1712.0	1224.0	1075.0
